Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.004888, 0, 0, 0, 0, 0, 0, 0, 0.004888, 0.04888, 0, 0.01955, 0, 0, 0, 0, 1111111111111111, 50, 70, 1, 1/785, 0.06040334701538086, False
0.004888, 0, 0, 0, 0, 0.004888, 0, 0.004888, 0.004888, 0.07331, 0, 0.0391, 0, 0.004888, 0.01466, 0, 1111111111111111, 50, 70, 2, 1/785, 0.17997074127197266, False
0.009775, 0, 0.004888, 0, 0, 0.009775, 0, 0.009775, 0.009775, 0.08798, 0, 0.04399, 0, 0.004888, 0.01955, 0, 1111111111111111, 50, 70, 3, 1/785, 0.29894065856933594, False
0.009775, 0.004888, 0.004888, 0.004888, 0, 0.01466, 0, 0.009775, 0.009775, 0.1075, 0, 0.05865, 0, 0.004888, 0.02444, 0, 1111111111111111, 50, 70, 4, 1/785, 0.42122411727905273, False
0.009775, 0.009775, 0.004888, 0.004888, 0, 0.01955, 0.004888, 0.009775, 0.01466, 0.1222, 0, 0.06354, 0.004888, 0.009775, 0.03421, 0, 1111111111111111, 50, 70, 5, 1/785, 0.5407509803771973, False
0.009775, 0.009775, 0.009775, 0.009775, 0, 0.01955, 0.004888, 0.009775, 0.01955, 0.1369, 0, 0.07331, 0.009775, 0.009775, 0.03421, 0, 1111111111111111, 50, 70, 6, 1/785, 0.6616072654724121, False
0.009775, 0.01466, 0.009775, 0.009775, 0, 0.02444, 0.004888, 0.01466, 0.02444, 0.1466, 0.004888, 0.08309, 0.009775, 0.01466, 0.04888, 0, 1111111111111111, 50, 70, 7, 1/785, 0.7754666805267334, False
0.01466, 0.01466, 0.01466, 0.009775, 0, 0.02933, 0.004888, 0.01466, 0.02444, 0.1564, 0, 0.08798, 0.009775, 0.01466, 0.04888, 0, 1111111111111111, 50, 70, 8, 1/785, 0.9008400440216064, False
0.01466, 0.01466, 0.01466, 0.009775, 0, 0.02933, 0.009775, 0.01466, 0.02933, 0.1711, 0.004888, 0.09775, 0.01466, 0.01955, 0.05865, 0.009775, 1111111111111111, 50, 70, 9, 1/785, 1.0220515727996826, False
0.01466, 0.01955, 0.01466, 0.01466, 0, 0.03421, 0.009775, 0.01955, 0.02933, 0.1808, 0.004888, 0.1075, 0.01466, 0.01955, 0.05865, 0, 1111111111111111, 50, 70, 10, 1/785, 1.1425018310546875, False
0.01466, 0.01955, 0.01955, 0.01466, 0, 0.0391, 0.009775, 0.01955, 0.03421, 0.1906, 0.004888, 0.1173, 0.01466, 0.02444, 0.06843, 0.004888, 1111111111111111, 50, 70, 11, 1/785, 1.2616009712219238, False
0.01955, 0.02444, 0.01955, 0.01466, 0, 0.0391, 0.009775, 0.01955, 0.03421, 0.2053, 0, 0.1222, 0.01955, 0.02444, 0.07331, 0.004888, 1111111111111111, 50, 70, 12, 1/785, 1.383347749710083, False
0.01955, 0.02444, 0.02444, 0.01955, 0, 0.04888, 0.009775, 0.02444, 0.0391, 0.2102, 0.004888, 0.132, 0.01955, 0.02444, 0.08309, 0.004888, 1111111111111111, 50, 70, 13, 1/785, 1.5032916069030762, False
0.01955, 0.02933, 0.02444, 0.02444, 0, 0.05376, 0.01466, 0.02444, 0.0391, 0.2199, 0.004888, 0.1417, 0.02444, 0.02933, 0.08798, 0.009775, 1111111111111111, 50, 70, 14, 1/785, 1.6223907470703125, False
0.01955, 0.02933, 0.02444, 0.02444, 0, 0.05376, 0.01955, 0.02933, 0.04399, 0.2297, 0.004888, 0.1466, 0.02444, 0.02444, 0.08798, 0.004888, 1111111111111111, 50, 70, 15, 1/785, 1.7441556453704834, False
0.01955, 0.02933, 0.02444, 0.02444, 0, 0.05865, 0.01466, 0.02933, 0.04888, 0.2346, 0.009775, 0.1564, 0.02933, 0.03421, 0.09775, 0.004888, 1111111111111111, 50, 70, 16, 1/785, 1.863759994506836, False
0.01955, 0.03421, 0.02444, 0.02933, 0, 0.05865, 0.01955, 0.02933, 0.05376, 0.2444, 0.009775, 0.1613, 0.03421, 0.03421, 0.1026, 0.009775, 1111111111111111, 50, 70, 17, 1/785, 1.984604835510254, False
0.02444, 0.0391, 0.02933, 0.02933, 0, 0.06843, 0.01955, 0.02933, 0.05376, 0.2542, 0.009775, 0.1662, 0.03421, 0.03421, 0.1075, 0.009775, 1111111111111111, 50, 70, 18, 1/785, 2.1054673194885254, False
0.02444, 0.0391, 0.03421, 0.02933, 0, 0.06843, 0.02444, 0.03421, 0.05865, 0.259, 0.009775, 0.176, 0.03421, 0.0391, 0.1124, 0.009775, 1111111111111111, 50, 70, 19, 1/785, 2.224358320236206, False
0.02444, 0.0391, 0.03421, 0.02933, 0, 0.06843, 0.01955, 0.03421, 0.05865, 0.2688, 0.009775, 0.1857, 0.03421, 0.0391, 0.1222, 0.01466, 1111111111111111, 50, 70, 20, 1/785, 2.3453612327575684, False
0.02933, 0.0391, 0.03421, 0.03421, 0, 0.07331, 0.02444, 0.0391, 0.06354, 0.2786, 0.009775, 0.1955, 0.0391, 0.04399, 0.1271, 0.01466, 1111111111111111, 50, 70, 21, 1/785, 2.4657294750213623, False
0.02933, 0.04399, 0.0391, 0.03421, 0, 0.0782, 0.02444, 0.0391, 0.06354, 0.2835, 0.009775, 0.2004, 0.0391, 0.04399, 0.132, 0.01466, 1111111111111111, 50, 70, 22, 1/785, 2.584099531173706, False
